,Date,RegionName_x,State,Metro,County,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI,LatestRank,RegionID,RegionName_y,PrevRank
1,2019-03-31,Oceanport,NJ,New York-Newark-Jersey City,Monmouth County,6383,515200,0.00136054421769,0.00802191351986,0.177869227252,0.0692039225036,0.0218140052743,2019-03,2019-Q1,515200,0.0,2019-03,1.0,16319,Oceanport,
5,2019-03-31,Atlantic Highlands,NJ,New York-Newark-Jersey City,Monmouth County,8864,450700,0.0,0.00895455563018,0.136409480585,0.0616374312652,0.0222141762965,2019-03,2019-Q1,450700,0.0,2019-03,2.0,43976,Atlantic Highlands,
0,2019-03-31,Asbury Park,NJ,New York-Newark-Jersey City,Monmouth County,3321,363100,0.00220811482197,0.0142458100559,0.126240694789,0.105403190185,0.0356084760377,2019-03,2019-Q1,363100,0.0,2019-03,3.0,3455,Asbury Park,1.0
6,2019-03-31,Manasquan,NJ,New York-Newark-Jersey City,Monmouth County,6704,715400,0.0060469694839,0.0202509982886,0.122020075282,0.0682757567331,0.0241363834177,2019-03,2019-Q1,715400,0.0,2019-03,4.0,19171,Manasquan,
7,2019-03-31,Ocean,NJ,New York-Newark-Jersey City,Monmouth County,2015,488700,0.00576250257255,0.0204635623303,0.108917631042,0.0632723765275,0.0198231435538,2019-03,2019-Q1,488700,0.0,2019-03,5.0,398003,Ocean,
35,2019-03-31,West Cape May,NJ,Ocean City,Cape May County,12623,562900,0.010592459605,0.0472558139535,0.0985558157689,0.0691700786128,0.022161864949,2019-03,2019-Q1,562900,0.0,2019-03,6.0,7831,,
9,2019-03-31,Deal,NJ,New York-Newark-Jersey City,Monmouth County,12611,2265700,0.0116990399643,0.0298636363636,0.093854101289,0.0508104418189,0.0113696564314,2019-03,2019-Q1,2265700,0.0,2019-03,7.0,38157,Deal,6.0
35,2019-03-31,Paulsboro,NJ,Philadelphia-Camden-Wilmington,Gloucester County,6568,96900,-0.00308641975309,0.00414507772021,0.0899887514061,,,2019-02,2019-Q1,97200,-0.00308641975309,2019-02,8.0,56241,,
2,2019-03-31,Lake Como,NJ,New York-Newark-Jersey City,Monmouth County,11844,415000,0.000241021932996,0.00362756952842,0.0829853862213,0.0521203578618,0.0141782273595,2019-03,2019-Q1,415000,0.0,2019-03,9.0,5489,Lake Como,
14,2019-03-31,Beach Haven,NJ,New York-Newark-Jersey City,Ocean County,12562,957200,-0.00135628586333,-0.00281279299927,0.0792648551133,0.0393531166181,0.0192931253579,2019-01,2019-Q1,960100,-0.00302051869597,2018-11,10.0,55585,Beach Haven,
26,2019-03-31,Sea Girt,NJ,New York-Newark-Jersey City,Monmouth County,11475,1870500,0.00634852316135,0.0248191978961,0.0748146871229,0.0444140380533,0.0277644627097,2019-03,2019-Q1,1870500,0.0,2019-03,11.0,27004,Sea Girt,25.0
3,2019-03-31,Jersey City,NJ,New York-Newark-Jersey City,Hudson County,88,483600,0.00290335960182,0.00498753117207,0.0668431502316,0.139425968774,0.0413474486411,2019-03,2019-Q1,483600,0.0,2019-03,12.0,25320,Jersey City,3.0
35,2019-03-31,Belmar,NJ,New York-Newark-Jersey City,Monmouth County,6680,585000,0.00827300930714,0.0218340611354,0.0655737704918,0.056231635483,0.0168251840008,2019-03,2019-Q1,585000,0.0,2019-03,13.0,37367,,
4,2019-03-31,Weehawken,NJ,New York-Newark-Jersey City,Hudson County,3674,773600,0.00454486430334,0.00992167101828,0.0652712751308,0.0957198668592,0.0382680527834,2019-03,2019-Q1,773600,0.0,2019-03,14.0,48385,Weehawken,2.0
29,2019-03-31,Spring Lake,NJ,New York-Newark-Jersey City,Monmouth County,9460,1927100,0.0104871270515,0.0313620551244,0.0641669887901,0.0526532159069,0.031516570482,2019-03,2019-Q1,1927100,0.0,2019-03,15.0,41023,Spring Lake,23.0
35,2019-03-31,Fanwood,NJ,New York-Newark-Jersey City,Union County,5725,482500,0.00730688935282,0.0185771585392,0.0569550930997,0.0343145366554,0.0177389864665,2019-03,2019-Q1,482500,0.0,2019-03,16.0,42402,,
20,2019-03-31,Manalapan,NJ,New York-Newark-Jersey City,Monmouth County,1309,466800,0.00193174500966,0.0110461338532,0.0551537070524,0.0330273902164,0.00994933339723,2019-03,2019-Q1,466800,0.0,2019-03,17.0,15592,Manalapan,
15,2019-03-31,Fair Haven,NJ,New York-Newark-Jersey City,Monmouth County,6546,781100,0.004371865758,0.0138888888889,0.0535473428649,0.0391297853799,0.0196463442367,2019-03,2019-Q1,781100,0.0,2019-03,18.0,4648,Fair Haven,5.0
10,2019-03-31,Palisades Park,NJ,New York-Newark-Jersey City,Bergen County,2613,631200,0.00111022997621,0.00174575464212,0.051824695884,0.0460375883186,0.0185543954896,2019-03,2019-Q1,631200,0.0,2019-03,19.0,19819,Palisades Park,19.0
28,2019-03-31,Haddonfield,NJ,Philadelphia-Camden-Wilmington,Camden County,4429,545600,0.0023883887562,0.0111193476649,0.050645099172,0.0416045543022,0.0177446652183,2019-03,2019-Q1,545600,0.0,2019-03,20.0,18427,Haddonfield,24.0
35,2019-03-31,Avon by the Sea,NJ,New York-Newark-Jersey City,Monmouth County,11599,907100,-0.00569987942563,0.00365125027661,0.0464928472543,0.0355031841414,0.00671247584846,2019-02,2019-Q1,912300,-0.00569987942563,2019-01,21.0,21586,,
8,2019-03-31,Metuchen,NJ,New York-Newark-Jersey City,Middlesex County,3757,433100,-0.00368069933287,0.00138728323699,0.0463880164291,0.0461109808553,0.00955793629284,2019-02,2019-Q1,434700,-0.00368069933287,2019-02,22.0,25872,Metuchen,
35,2019-03-31,Marlboro,NJ,New York-Newark-Jersey City,Monmouth County,1303,547200,0.00458968239398,0.0171003717472,0.0460714968457,0.0401658809121,0.0139946644034,2019-03,2019-Q1,547200,0.0,2019-03,23.0,53166,,
32,2019-03-31,Princeton,NJ,Trenton,Mercer County,1688,916300,0.00240673886883,0.0157410486642,0.0439785803805,0.0441170789455,0.0219866812152,2019-03,2019-Q1,916300,0.0,2019-03,24.0,395489,Princeton,33.0
12,2019-03-31,Collingswood,NJ,Philadelphia-Camden-Wilmington,Camden County,3714,246400,-0.00444444444444,-0.0120288692863,0.040101308569,0.040331887681,0.00948648624848,2018-12,2018-Q4,249400,-0.0120288692863,2018-10,25.0,8350,Collingswood,
35,2019-03-31,Scotch Plains,NJ,New York-Newark-Jersey City,Union County,2222,508900,0.00434181961713,0.0139470013947,0.0394199346405,0.0334514535804,0.0178447138539,2019-03,2019-Q1,508900,0.0,2019-03,26.0,20391,,
35,2019-03-31,Verona,NJ,New York-Newark-Jersey City,Essex County,3877,488800,0.00929176130498,0.0299199325748,0.0360322170411,0.045982160644,0.0159892218305,2019-03,2019-Q1,488800,0.0,2019-03,27.0,43078,,
11,2019-03-31,Haddon,NJ,Philadelphia-Camden-Wilmington,Camden County,3571,263200,-0.00491493383743,-0.0146012729315,0.0325617889368,0.0462962993691,0.0142826077108,2018-10,2018-Q4,268800,-0.0208333333333,2018-06,28.0,397684,Haddon,4.0
19,2019-03-31,Plainsboro,NJ,New York-Newark-Jersey City,Middlesex County,2342,443600,-0.00112587255123,0.00703745743473,0.0287569573284,0.0249883731273,0.0195544290878,2019-02,2019-Q1,444100,-0.00112587255123,2019-02,29.0,398412,Plainsboro,27.0
24,2019-03-31,Little Silver,NJ,New York-Newark-Jersey City,Monmouth County,6837,638000,0.00125549278092,0.0044080604534,0.0260533933741,0.0299791912269,0.0137609331656,2019-03,2019-Q1,638000,0.0,2019-03,30.0,19051,Little Silver,
23,2019-03-31,West Windsor,NJ,Trenton,Mercer County,2111,634000,0.0,-0.00236034618411,0.0253922044315,0.0181743532236,0.012470477473,2018-12,2018-Q4,635500,-0.00236034618411,2018-11,31.0,56875,West Windsor,29.0
13,2019-03-31,Lambertville,NJ,New York-Newark-Jersey City,Hunterdon County,8425,392700,-0.00127161749746,-0.00329949238579,0.0213263979194,0.0385054651422,0.0172396756984,2018-08,2018-Q3,396000,-0.00833333333333,2018-07,32.0,5529,Lambertville,7.0
35,2019-03-31,South Orange,NJ,New York-Newark-Jersey City,Essex County,3115,651600,0.00898110870238,0.0184432635198,0.0198779151667,0.0553225949156,0.0282430926668,2019-03,2019-Q1,651600,0.0,2019-03,33.0,34059,,
17,2019-03-31,Bradley Beach,NJ,New York-Newark-Jersey City,Monmouth County,7967,570800,-0.00139958012596,0.00122785476232,0.0191037314765,0.0445165709725,0.0162548831169,2019-02,2019-Q1,571600,-0.00139958012596,2019-02,34.0,28233,Bradley Beach,8.0
35,2019-03-31,New Egypt,NJ,New York-Newark-Jersey City,Ocean County,10636,234200,0.00644606789858,0.0231542158148,0.018703784254,,,2019-03,2019-Q1,234200,0.0,2019-03,35.0,39972,,
33,2019-03-31,Montclair,NJ,New York-Newark-Jersey City,Essex County,1343,676000,0.00535395597858,0.0107655502392,0.0176125244618,0.0466867844815,0.0229061579099,2019-03,2019-Q1,676000,0.0,2019-03,36.0,39839,Montclair,17.0
22,2019-03-31,Berlin Borough,NJ,Philadelphia-Camden-Wilmington,Camden County,5713,223900,-0.00222816399287,-0.00841452612932,0.0154195011338,,,2018-11,2018-Q4,226400,-0.0110424028269,2018-08,37.0,760887,Berlin Borough,11.0
31,2019-03-31,Cranbury,NJ,New York-Newark-Jersey City,Middlesex County,8454,721500,0.00055470808487,0.00599553820413,0.00909090909091,0.0210913467099,0.0149009369472,2019-03,2019-Q1,721500,0.0,2019-03,38.0,397423,Cranbury,12.0
